1,205
1,1671
3,1400
4,1848
5,1738
7,515
8,1029
11,295
11,1692
12,113
13,165
13,1724
14,216
14,310
14,625
14,749
14,1692
14,1769
14,1987
15,179
15,1091
16,28
17,870
18,160
18,1499
19,56
19,1692
20,462
22,269
22,515
23,331
23,1152
23,1234
23,1621
26,1382
26,1986
29,594
29,625
29,759
29,1028
29,1117
29,1313
29,1496
29,1539
30,1261
31,1384
31,1427
32,460
33,153
33,258
33,400
33,494
34,625
35,1422
36,1217
37,302
37,339
37,995
37,1233
38,159
38,395
38,453
38,469
38,502
38,625
38,686
38,812
38,825
38,880
38,941
38,1060
38,1234
38,1351
38,1462
38,1472
38,1504
38,1621
38,1655
38,1671
38,1692
38,1799
39,453
40,520
40,671
41,239
41,469
41,625
41,1224
41,1501
43,1845
44,719
44,779
44,842
44,1247
44,1440
44,1532
44,1655
45,1505
46,1521
47,453
47,951
47,993
49,469
49,1029
50,271
50,1463
50,1503
50,1600
50,1848
51,239
51,625
52,443
52,1848
53,185
53,555
55,77
55,262
55,1153
55,1466
57,127
57,1575
58,1540
59,533
60,619
60,1761
61,1343
62,1417
62,1730
63,451
63,483
63,625
63,885
63,1372
63,1766
64,569
64,1163
64,1206
65,1338
66,1035
66,1781
67,453
67,469
67,530
67,625
67,732
67,1403
67,1408
67,1493
67,1678
67,1761
67,1911
68,762
69,173
69,214
69,1225
70,71
70,1496
70,1931
72,542
73,1655
74,730
75,1692
76,1438
77,395
77,828
77,1918
78,729
79,469
79,625
79,1458
80,780
80,1443
81,483
81,625
81,1697
81,1994
82,625
82,1673
84,1472
84,1692
86,319
86,469
86,524
86,583
86,625
86,629
86,682
86,881
86,1056
86,1153
86,1169
86,1173
86,1217
86,1352
86,1372
86,1387
86,1496
86,1505
86,1532
86,1539
86,1755
86,1769
87,419
87,469
87,1984
88,469
89,1352
89,1511
90,1225
92,239
93,253
94,625
95,385
95,451
95,842
95,1315
96,1488
97,1338
98,307
98,573
98,1352
98,1655
99,1488
99,1872
100,625
101,257
101,625
101,628
101,842
101,1035
101,1173
101,1261
101,1420
101,1562
101,1661
101,1692
101,1836
101,1837
102,216
102,483
102,625
102,760
102,929
102,1693
102,1761
102,1848
103,367
104,625
104,1120
104,1655
105,625
106,1108
106,1472
107,1022
107,1539
108,749
108,1514
109,912
109,1023
109,1710
110,923
110,1254
111,850
112,272
112,378
112,589
112,1373
113,143
113,264
113,431
113,453
113,547
113,625
113,698
113,825
113,882
113,1338
113,1380
113,1505
113,1694
115,625
115,1916
116,368
116,522
116,1655
119,223
119,960
120,943
120,1120
121,229
121,453
121,1013
122,207
122,1969
123,1261
124,870
124,1385
125,469
125,909
126,625
126,1174
129,203
129,1174
129,1547
130,458
130,625
130,636
130,880
130,1279
130,1692
131,1339
131,1384
132,195
132,880
134,195
136,597
137,625
137,685
137,1468
138,354
138,469
138,742
138,799
138,1691
138,1769
140,261
140,341
140,620
141,1278
141,1697
142,1496
144,453
144,1872
145,216
145,555
145,1455
145,1591
145,1736
145,1823
146,235
146,289
146,625
146,866
146,1206
146,1975
148,1000
148,1798
148,1975
149,836
149,1931
150,1062
151,453
152,227
152,661
152,1577
152,1922
153,1108
153,1720
154,1291
154,1692
155,1718
157,469
157,625
157,831
157,1766
158,441
158,589
158,941
158,978
158,1693
158,1833
159,1385
159,1902
160,203
160,625
160,1004
160,1385
160,1505
160,1529
160,1580
160,1655
160,1656
160,1692
160,1838
162,1692
162,1980
163,1601
164,531
165,1340
165,1403
166,625
166,1048
166,1650
166,1708
167,270
169,625
170,672
170,1565
170,1764
171,345
171,625
171,1156
172,312
172,941
173,625
173,1924
174,469
174,878
174,965
174,1586
174,1692
174,1784
176,469
176,625
176,686
176,1057
176,1789
177,244
177,251
177,469
177,1338
177,1695
177,1766
177,1933
177,1983
178,1692
179,1539
180,1169
180,1225
181,216
181,1659
182,203
182,329
182,1179
182,1653
184,607
186,245
186,431
186,625
186,811
186,842
186,1373
186,1505
187,419
187,625
188,469
188,483
188,542
188,731
188,1217
188,1235
188,1385
188,1505
188,1692
188,1697
191,896
191,994
191,1052
192,416
192,625
192,855
192,996
192,1334
192,1377
192,1586
193,264
193,1454
194,1338
195,896
195,1005
195,1225
195,1315
